study,treatment,diff,std.err
B<e9>gin,placebo/standard care,NA,NA
B<e9>gin,convalescent plasma,0.5999999999999996,0.28315795813157957
Korper,placebo/standard care,NA,NA
Korper,convalescent plasma,0,2.1629817444219066
