study,t1,t2,mean1,sd1,n1,mean2,sd2,n2
Bégin,convalescent plasma,placebo/standard care,23.9,10.2,548,24,10.5,303
Estcourt,convalescent plasma,placebo/standard care,4.67,11.88,1074,5.67,12.62,902
Sekine,convalescent plasma,placebo/standard care,11.67,8.18,15,13.67,11.32,17
