study,t1,t2,e.events,e.total,c.events,c.total
Bégin,convalescent plasma,placebo/standard care,9,614,0,307
Estcourt,convalescent plasma,placebo/standard care,1,1075,0,905
Hamdy Salman,convalescent plasma,placebo/standard care,0,15,0,15
Li,convalescent plasma,placebo/standard care,1,52,0,51
Sekine,convalescent plasma,placebo/standard care,2,79,4,81
Simonovich,convalescent plasma,placebo/standard care,4,228,2,105
