study,t1,t2,e.events,e.total,c.events,c.total
AlQahtani,convalescent plasma,placebo/standard care,4,20,6,20
Pouladzadeh,convalescent plasma,placebo/standard care,3,30,5,30
Raman,intravenous immunoglobulin,placebo/standard care,12,50,19,50
Sakoulas,intravenous immunoglobulin,placebo/standard care,2,16,7,17
Salman,convalescent plasma,placebo/standard care,0,15,0,15
Sekine,convalescent plasma,placebo/standard care,27,80,29,80
Simonovich,convalescent plasma,placebo/standard care,61,228,24,105
Tabarsi,intravenous immunoglobulin,placebo/standard care,21,52,10,32
