study,t1,t2,e.events,e.total,c.events,c.total
Deftereos,colchicine,standard care/placebo,1,55,3,47
Tardif,colchicine,standard care/placebo,11,2235,21,2253
Horby_6,colchicine,standard care/placebo,852,3815,941,3962
