study,t1,t2,e.events,e.total,c.events,c.total
Deftereos,colchicine,standard care/placebo,1,55,4,50
Salehzadeh,colchicine,standard care/placebo,0,50,0,50
Tardif,colchicine,standard care/placebo,5,2235,9,2253
Lopes_2,colchicine,standard care/placebo,0,36,2,36
Horby_6,colchicine,standard care/placebo,1173,5610,1190,5730
