study,t1,t2,mean1,sd1,n1,mean2,sd2,n2
Deftereos,colchicine,standard care/placebo,14.33,9.90,55,13.33,6.87,50
Salehzadeh,colchicine,standard care/placebo,6.28,2.71,50,8.12,2.71,50
Lopes_2,colchicine,standard care/placebo,7,3.09,36,9.33,3.86,36
Horby_6,colchicine,standard care/placebo,10,3.09,5610,10,3.86,5730
