study,t1,t2,e.events,e.total,c.events,c.total
Avendano-Sola,convalescent plasma,placebo/standard care,0,38,0,43
Bégin,convalescent plasma,placebo/standard care,1,614,0,307
Hamdy Salman,convalescent plasma,placebo/standard care,0,15,0,15
Simonovich,convalescent plasma,placebo/standard care,0,228,0,105
